id,county,population,population density
1,Albany,1,1.1
2,Allegany,2,1.2
3,Bronx,3,1.3
4,Broome,4,1.4
5,Cattaraugus,5,1.5
6,Cayuga,6,1.6
7,Chautauqua,7,1.7
8,Chemung,8,1.8
9,Chenango,9,1.9
10,Clinton,10,2
11,Columbia,11,2.1
12,Cortland,12,2.2
13,Delaware,13,2.3
14,Dutchess,14,2.4
15,Erie,15,2.5
16,Essex,16,2.6
17,Franklin,17,2.7
18,Fulton,18,2.8
19,Genesee,19,2.9
20,Greene,20,3
21,Hamilton,21,3.1
22,Herkimer,22,3.2
23,Jefferson,23,3.3
24,Kings,24,3.4
25,Lewis,25,3.5
26,Livingston,26,3.6
27,Madison,27,3.7
28,Monroe,28,3.8
29,Montgomery,29,3.9
30,Nassau,30,4
31,New York,31,4.1
32,Niagara,32,4.2
33,Oneida,33,4.3
34,Onondaga,34,4.4
35,Ontario,35,4.5
36,Orange,36,4.6
37,Orleans,37,4.7
38,Oswego,38,4.8
39,Otsego,39,4.9
40,Putnam,40,5
41,Queens,41,5.1
42,Rensselaer,42,5.2
43,Richmond,43,5.3
44,Rockland,44,5.4
45,St. Lawrence,45,5.5
46,Saratoga,46,5.6
47,Schenectady,47,5.7
48,Schoharie,48,5.8
49,Schuyler,49,5.9
50,Seneca,50,6
51,Steuben,51,6.1
52,Suffolk,52,6.2
53,Sullivan,53,6.3
54,Tioga,54,6.4
55,Tompkins,55,6.5
56,Ulster,56,6.6
57,Warren,57,6.7
58,Washington,58,6.8
59,Wayne,59,6.9
60,Westchester,60,7
61,Wyoming,61,7.1
62,Yates,62,7.2
